Forma ;Lemma;Analisi ;olivetti_url;;;
ἤνεγκον;φέρω;aoristo attivo 1ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=ferw;;;
ἤνεγκες;φέρω;aoristo attivo 2ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=ferw;;;
ἤνεγκε;φέρω;aoristo attivo 3ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=ferw;;;
ἤνεγκομεν;φέρω;aoristo attivo 1ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=ferw;;;
ἤνεγκετε;φέρω;aoristo attivo 2ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=ferw;;;
ἤνεγκον;φέρω;aoristo attivo 3ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=ferw;;;
ἐλεύσομαι;ἔρχομαι;futuro medio deponente 1ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%E1%BC%94%CF%81%CF%87%CE%BF%CE%BC%CE%B1%CE%B9;;;
ἐλεύσῃ;ἔρχομαι;futuro medio deponente 2ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%E1%BC%94%CF%81%CF%87%CE%BF%CE%BC%CE%B1%CE%B9;;;
ἐλεύσεται;ἔρχομαι;futuro medio deponente 3ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%E1%BC%94%CF%81%CF%87%CE%BF%CE%BC%CE%B1%CE%B9;;;
ἐλεύσόμεθα;ἔρχομαι;futuro medio deponente 1ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%E1%BC%94%CF%81%CF%87%CE%BF%CE%BC%CE%B1%CE%B9;;;
ἐλεύσεσθε;ἔρχομαι;futuro medio deponente 2ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%E1%BC%94%CF%81%CF%87%CE%BF%CE%BC%CE%B1%CE%B9;;;
ἐλεύσονται;ἔρχομαι;futuro medio deponente 3ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%E1%BC%94%CF%81%CF%87%CE%BF%CE%BC%CE%B1%CE%B9;;;
εἶδον;ὁράω;aoristo attivo 1ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
εἶδες;ὁράω;aoristo attivo 2ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
εἶδε;ὁράω;aoristo attivo 3ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
εἶδομεν;ὁράω;aoristo attivo 1ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
εἶδετε;ὁράω;aoristo attivo 2ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
εἶδον;ὁράω;aoristo attivo 3ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
ἑλω;αἱρέω;futuro attivo 1ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%CE%B1%E1%BC%B1%CF%81%CE%AD%CF%89;;;
ἑλεις;αἱρέω;futuro attivo 2ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%CE%B1%E1%BC%B1%CF%81%CE%AD%CF%89;;;
ἑλει;αἱρέω;futuro attivo 3ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%CE%B1%E1%BC%B1%CF%81%CE%AD%CF%89;;;
ἑλομεν;αἱρέω;futuro attivo 1ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%CE%B1%E1%BC%B1%CF%81%CE%AD%CF%89;;;
ἑλετε;αἱρέω;futuro attivo 2ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%CE%B1%E1%BC%B1%CF%81%CE%AD%CF%89;;;
ἑλουσι;αἱρέω;futuro attivo 3ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%CE%B1%E1%BC%B1%CF%81%CE%AD%CF%89;;;
ἐρω;λέγω;futuro attivo 1ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=legw;;;
ἐρεις;λέγω;futuro attivo 2ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=legw;;;
ἐρει;λέγω;futuro attivo 3ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=legw;;;
ἐρομεν;λέγω;futuro attivo 1ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=legw;;;
ἐρετε;λέγω;futuro attivo 2ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=legw;;;
ἐρουσι;λέγω;futuro attivo 3ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=legw;;;
οἴσω;φέρω;futuro attivo 1ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=ferw;;;
οἴσεις;φέρω;futuro attivo 2ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=ferw;;;
οἴσει;φέρω;futuro attivo 3ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=ferw;;;
οἴσομεν;φέρω;futuro attivo 1ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=ferw;;;
οἴσετε;φέρω;futuro attivo 2ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=ferw;;;
οἴσουσι;φέρω;futuro attivo 3ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=ferw;;;
ᾕρηκα;αἱρέω;perfetto attivo 1ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%CE%B1%E1%BC%B1%CF%81%CE%AD%CF%89;;;
ᾕρηκας;αἱρέω;perfetto attivo 2ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%CE%B1%E1%BC%B1%CF%81%CE%AD%CF%89;;;
ᾕρηκε;αἱρέω;perfetto attivo 3ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%CE%B1%E1%BC%B1%CF%81%CE%AD%CF%89;;;
ᾕρηκαμεν;αἱρέω;perfetto attivo 1ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%CE%B1%E1%BC%B1%CF%81%CE%AD%CF%89;;;
ᾕρηκατε;αἱρέω;perfetto attivo 2ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%CE%B1%E1%BC%B1%CF%81%CE%AD%CF%89;;;
ᾕρηκασι;αἱρέω;perfetto attivo 3ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%CE%B1%E1%BC%B1%CF%81%CE%AD%CF%89;;;
ἐλήλυθα;ἔρχομαι;perfetto attivo 1ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%E1%BC%94%CF%81%CF%87%CE%BF%CE%BC%CE%B1%CE%B9;;;
ἐλήλυθας;ἔρχομαι;perfetto attivo 2ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%E1%BC%94%CF%81%CF%87%CE%BF%CE%BC%CE%B1%CE%B9;;;
ἐλήλυθε;ἔρχομαι;perfetto attivo 3ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%E1%BC%94%CF%81%CF%87%CE%BF%CE%BC%CE%B1%CE%B9;;;
ἐλήλυθαμεν;ἔρχομαι;perfetto attivo 1ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%E1%BC%94%CF%81%CF%87%CE%BF%CE%BC%CE%B1%CE%B9;;;
ἐλήλυθατε;ἔρχομαι;perfetto attivo 2ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%E1%BC%94%CF%81%CF%87%CE%BF%CE%BC%CE%B1%CE%B9;;;
ἐλήλυθασι;ἔρχομαι;perfetto attivo 3ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%E1%BC%94%CF%81%CF%87%CE%BF%CE%BC%CE%B1%CE%B9;;;
εἴρηκα;λέγω;perfetto attivo 1ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=legw;;;
εἴρηκας;λέγω;perfetto attivo 2ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=legw;;;
εἴρηκε;λέγω;perfetto attivo 3ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=legw;;;
εἴρηκαμεν;λέγω;perfetto attivo 1ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=legw;;;
εἴρηκατε;λέγω;perfetto attivo 2ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=legw;;;
εἴρηκασι;λέγω;perfetto attivo 3ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=legw;;;
ἑώρακα;ὁράω;perfetto attivo 1ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
ἑώρακας;ὁράω;perfetto attivo 2ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
ἑώρακε;ὁράω;perfetto attivo 3ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
ἑώρακαμεν;ὁράω;perfetto attivo 1ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
ἑώρακατε;ὁράω;perfetto attivo 2ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
ἑώρακασι;ὁράω;perfetto attivo 3ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
ἐνήνοχα;φέρω;perfetto attivo 1ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
ἐνήνοχας;φέρω;perfetto attivo 2ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
ἐνήνοχε(ν);φέρω;perfetto attivo 3ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
ἐνήνοχαμεν;φέρω;perfetto attivo 1ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
ἐνήνοχατε;φέρω;perfetto attivo 2ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
ἐνήνοχασι;φέρω;perfetto attivo 3ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
ὄπωπα;ὁράω;perfetto attivo 1ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
ὄπωπας;ὁράω;perfetto attivo 2ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
ὄπωπε;ὁράω;perfetto attivo 3ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
ὄπωπαμεν;ὁράω;perfetto attivo 1ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
ὄπωπατε;ὁράω;perfetto attivo 2ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
ὄπωπασι;ὁράω;perfetto attivo 3ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
ἐδήδοκα;ἐσθίω;perfetto attivo 1ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%E1%BC%90%CF%83%CE%B8%CE%AF%CF%89;;;
ἐδήδοκας;ἐσθίω;perfetto attivo 2ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%E1%BC%90%CF%83%CE%B8%CE%AF%CF%89;;;
ἐδήδοκε;ἐσθίω;perfetto attivo 3ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%E1%BC%90%CF%83%CE%B8%CE%AF%CF%89;;;
ἐδήδοκαμεν;ἐσθίω;perfetto attivo 1ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%E1%BC%90%CF%83%CE%B8%CE%AF%CF%89;;;
ἐδήδοκατε;ἐσθίω;perfetto attivo 2ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%E1%BC%90%CF%83%CE%B8%CE%AF%CF%89;;;
ἐδήδοκασι;ἐσθίω;perfetto attivo 3ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%E1%BC%90%CF%83%CE%B8%CE%AF%CF%89;;;
ᾕρημαι;αἱρέω;perfetto medio/passivo 1ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%CE%B1%E1%BC%B1%CF%81%CE%AD%CF%89;;;
ᾕρησαι;αἱρέω;perfetto medio/passivo 2ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%CE%B1%E1%BC%B1%CF%81%CE%AD%CF%89;;;
ᾕρηται;αἱρέω;perfetto medio/passivo 3ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%CE%B1%E1%BC%B1%CF%81%CE%AD%CF%89;;;
ᾕρημεθα;αἱρέω;perfetto medio/passivo 1ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%CE%B1%E1%BC%B1%CF%81%CE%AD%CF%89;;;
ᾕρησθε;αἱρέω;perfetto medio/passivo 2ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%CE%B1%E1%BC%B1%CF%81%CE%AD%CF%89;;;
ᾕρηνται;αἱρέω;perfetto medio/passivo 3ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%CE%B1%E1%BC%B1%CF%81%CE%AD%CF%89;;;
εἴρημαι;λέγω;perfetto medio/passivo 1ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=legw;;;
